SalesID,Date,Product,Region,Sales,Profit,Quantity,Year
101,2022-01-15,Product A,North,500,80,5,2022
102,2022-02-10,Product B,East,600,100,6,2022
103,2022-03-05,Product C,West,700,120,7,2022
104,2022-04-20,Product D,South,800,150,8,2022
105,2022-05-12,Product E,Central,550,90,5,2022
106,2023-01-18,Product A,North,750,130,7,2023
107,2023-02-22,Product B,East,680,110,6,2023
108,2023-03-14,Product C,West,900,180,9,2023
109,2023-04-25,Product D,South,850,160,8,2023
110,2023-05-30,Product E,Central,620,105,6,2023
111,2024-01-10,Product A,North,950,200,10,2024
112,2024-02-15,Product B,East,720,125,7,2024
113,2024-03-20,Product C,West,980,210,10,2024
114,2024-04-08,Product D,South,880,175,9,2024
115,2024-05-18,Product E,Central,700,130,7,2024
116,2025-01-12,Product A,North,1100,250,11,2025
117,2025-02-17,Product B,East,850,170,8,2025
118,2025-03-21,Product C,West,1200,280,12,2025
119,2025-04-11,Product D,South,1000,220,10,2025
120,2025-05-22,Product E,Central,780,145,8,2025
